X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
1.985623,53.649490,1,50,0,0
1.985854,54.067883,5,30,0,0
1.986038,53.573015,5,30,0,0
1.986608,51.613305,5,50,0,0
1.986854,53.983708,5,50,0,0
1.987709,53.348578,5,50,0,0
1.988371,53.358660,5,70,0,0
1.988418,53.558257,5,50,0,0
1.988571,53.668165,5,50,0,0
1.988981,51.177436,1,50,0,0
1.989260,53.789951,5,50,0,0
1.990637,52.632305,5,50,0,0
1.991173,53.080526,5,50,0,0
1.991174,48.386977,5,60,0,0
1.992436,54.067365,5,30,0,0
1.992419,52.099373,5,70,0,0
1.992753,54.061780,5,50,0,0
1.993152,53.547273,1,50,0,0
1.993192,54.043763,5,50,0,0
1.993339,54.098741,5,30,0,0
1.993826,51.188972,5,50,0,0
1.993997,53.546930,5,50,0,0
1.994401,48.383307,5,70,0,0
1.995338,48.550287,5,50,0,0
1.995757,53.610397,5,60,0,0
1.996017,54.091941,5,50,0,0
1.996472,49.883228,4,0,0,0
1.997186,53.484748,5,70,0,0
1.997157,51.693264,5,30,0,0
1.997394,48.368539,5,60,0,0
1.997346,41.924782,4,0,0,0
1.997977,53.564783,5,30,0,0
1.999746,48.298616,5,50,0,0
9.999925,48.298552,1,50,0,0
