CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
262887,Resource leak,High,New,02/12/18,Unassigned,Unclassified,Unspecified,Undecided,maptool,Resource leaks,/root/project/navit/maptool/buffer.c,load_buffer
172038,Unchecked return value,Medium,New,09/12/17,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/root/project/navit/osd/core/osd_core.c,osd_volume_click
172037,Out-of-bounds access,High,New,09/12/17,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/root/project/navit/graphics.c,graphics_draw_polyline_as_polygon
172036,Uninitialized scalar variable,High,New,09/12/17,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/root/project/navit/osd/core/osd_core.c,osd_text_format_attr
172035,Copy into fixed size buffer,Low,New,09/12/17,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/root/project/navit/debug.c,debug_vprintf
172034,Missing break in switch,Medium,New,09/12/17,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/root/project/navit/osd/core/osd_core.c,draw_aligned_osd_text
172033,Unchecked return value,Medium,New,09/12/17,Unassigned,Unclassified,Unspecified,Undecided,Other,Error handling issues,/root/project/navit/support/shapefile/dbfopen.c,DBFClose
172032,Various,Medium,New,09/12/17,Unassigned,Unclassified,Unspecified,Undecided,maptool,Insecure data handling,/root/project/navit/maptool/osm.c,osm_process_towns
138973,Dereference after null check,Medium,New,12/02/16,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/root/project/navit/gui/internal/gui_internal_menu.c,gui_internal_menu
119695,Dereference before null check,Medium,New,11/13/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/root/project/navit/osd/core/osd_core.c,osd_navigation_status_init
119694,Logically dead code,Medium,New,11/13/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/root/project/navit/attr.c,attr_to_text_ext
105504,Dereference before null check,Medium,New,08/13/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/root/project/navit/navigation.c,show_next_maneuvers
83382,Logically dead code,Medium,New,05/14/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/root/project/navit/navigation.c,show_maneuver
83381,Logically dead code,Medium,New,05/14/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/root/project/navit/navigation.c,navigation_map_item_attr_get
40106,Dereference before null check,Medium,New,03/07/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/root/project/navit/navigation.c,navigation_analyze_roundabout
34806,Dereference after null check,Medium,New,02/22/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/root/project/navit/navigation.c,command_new
25428,Various,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Insecure data handling,/root/project/navit/maptool/boundaries.c,process_boundaries_setup
25427,Untrusted value as argument,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Insecure data handling,/root/project/navit/maptool/misc.c,process_binfile
25426,Uninitialized scalar variable,High,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/root/project/navit/map/binfile/binfile.c,push_modified_item
25425,Use of untrusted scalar value,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Insecure data handling,/root/project/navit/map/binfile/binfile.c,push_zipfile_tile
25424,Uninitialized scalar variable,High,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/root/project/navit/map/binfile/binfile.c,binfile_attr_set
25423,Untrusted value as argument,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Insecure data handling,/root/project/navit/maptool/osm.c,resolve_ways
25422,Various,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Insecure data handling,/root/project/navit/map/binfile/binfile.c,download_finish
25421,Result is not floating-point,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/root/project/navit/track.c,tracking_value
25420,Uninitialized scalar variable,High,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Uninitialized variables,/root/project/navit/maptool/google/protobuf-c/protobuf-c.c,protobuf_c_message_unpack
25419,Copy into fixed size buffer,Low,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/root/project/navit/map/shapefile/shapefile.c,attr_resolve
25418,Various,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Insecure data handling,/root/project/navit/maptool/misc.c,phase34_process_file
25417,Copy into fixed size buffer,Low,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Security best practices violations,/root/project/navit/maptool/tile.c,merge_tiles
25415,Uninitialized scalar variable,High,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/root/project/navit/gui/internal/gui_internal_search.c,gui_internal_get_match_quality
25414,Untrusted value as argument,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Insecure data handling,/root/project/navit/maptool/osm.c,write_countrydir
25413,Various,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Insecure data handling,/root/project/navit/maptool/misc.c,phase34_process_file_range
25412,Various,Medium,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Insecure data handling,/root/project/navit/maptool/ch.c,ch_copy_to_tiles
25411,Uninitialized scalar variable,High,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,maptool,Uninitialized variables,/root/project/navit/maptool/osm_protobufdb.c,osm_protobufdb_timestamp
25410,Uninitialized scalar variable,High,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/root/project/navit/track.c,tracking_update
25409,Copy into fixed size buffer,Low,New,02/06/15,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/root/project/navit/map/textfile/textfile.c,parse_line
