X,Y,TYPE
0.617306,44.182584,1ere-classe
2.089256,43.915803,1ere-classe
4.09314,44.10802,1ere-classe
2.370099,49.865701,1ere-classe
-0.616312,47.468995,1ere-classe
-0.507048,47.43629,1ere-classe
0.130882,45.663182,1ere-classe
0.099623,45.618119,1ere-classe
6.083624,45.92899,1ere-classe
6.108304,45.894179,1ere-classe
6.221182,46.184488,1ere-classe
6.249732,46.199716,1ere-classe
4.63626,43.663619,1ere-classe
3.552371,47.848825,1ere-classe
3.964637,47.500422,1ere-classe
4.883234,43.981388,1ere-classe
4.86926,43.922715,1ere-classe
-1.452934,43.490116,1ere-classe
4.83565,47.017979,1ere-classe
2.105961,49.410782,1ere-classe
6.88642,47.642809,1ere-classe
5.998428,47.270807,1ere-classe
2.621266,50.515175,1ere-classe
3.276351,43.333385,1ere-classe
-1.534929,43.47122,1ere-classe
1.3324,47.612877,1ere-classe
2.501953,48.759776,1ere-classe
-0.509432,44.882478,1ere-classe
-0.556149,44.886894,1ere-classe
-0.628473,44.880793,1ere-classe
-0.68408,44.759507,1ere-classe
-0.645964,44.788196,1ere-classe
-0.650284,44.779597,1ere-classe
-0.588434,44.784981,1ere-classe
1.643651,50.725703,1ere-classe
2.342779,47.046776,1ere-classe
-4.462654,48.430513,1ere-classe
1.474129,45.146277,1ere-classe
-0.299567,49.162384,1ere-classe
3.222508,50.155678,1ere-classe
2.314489,43.206303,1ere-classe
2.07444,49.036487,1ere-classe
2.019594,49.054704,1ere-classe
4.833251,46.7929,1ere-classe
4.356523,48.980494,1ere-classe
5.890399,45.595188,1ere-classe
2.430165,49.111799,1ere-classe
4.72314,49.737797,1ere-classe
1.645131,46.777321,1ere-classe
2.594273,48.889797,1ere-classe
2.301628,48.710918,1ere-classe
3.117299,45.80691,1ere-classe
3.142645,45.757782,1ere-classe
2.775083,49.407593,1ere-classe
2.084492,49.008375,1ere-classe
3.052726,48.817796,1ere-classe
2.488063,49.283402,1ere-classe
0.093619,49.349382,1ere-classe
5.06919,47.351525,1ere-classe
5.013637,47.281978,1ere-classe
3.079703,50.3898,1ere-classe
2.435862,48.913293,1ere-classe
1.387305,48.742076,1ere-classe
2.335095,51.022921,1ere-classe
2.418452,50.953693,1ere-classe
2.203503,50.995395,1ere-classe
6.465986,48.195017,1ere-classe
2.33283,48.679517,1ere-classe
1.160934,49.019718,1ere-classe
2.360854,48.64289,1ere-classe
2.856019,48.712005,1ere-classe
6.808482,49.141096,1ere-classe
6.089942,46.253805,1ere-classe
6.025413,46.251287,1ere-classe
2.302675,48.933085,1ere-classe
2.463661,49.019114,1ere-classe
5.593611,45.323108,1ere-classe
5.623462,45.300311,1ere-classe
5.77824,45.188622,1ere-classe
1.876206,46.186907,1ere-classe
2.98786,50.412624,1ere-classe
2.190766,49.000102,1ere-classe
0.247655,49.413681,1ere-classe
2.234333,48.738544,1ere-classe
-1.429515,46.712402,1ere-classe
-1.111331,46.175018,1ere-classe
-1.094058,46.104016,1ere-classe
-1.098121,46.132789,1ere-classe
2.271455,48.653118,1ere-classe
3.655712,49.568106,1ere-classe
2.466077,48.950118,1ere-classe
0.191654,48.003814,1ere-classe
0.161861,48.014501,1ere-classe
2.202879,48.685085,1ere-classe
3.068158,50.63728,1ere-classe
3.122017,50.612814,1ere-classe
3.106618,50.665419,1ere-classe
3.13263,50.751219,1ere-classe
3.160185,50.705608,1ere-classe
2.996967,50.656425,1ere-classe
3.048755,50.548211,1ere-classe
1.289867,45.884492,1ere-classe
0.265391,49.143411,1ere-classe
5.762336,49.557302,1ere-classe
-0.040266,43.106283,1ere-classe
4.859992,45.754975,1ere-classe
5.065795,45.687612,1ere-classe
4.936285,45.747402,1ere-classe
5.214297,45.609989,1ere-classe
4.817612,45.903611,1ere-classe
4.788404,45.766104,1ere-classe
4.791399,45.584197,1ere-classe
4.791357,46.255915,1ere-classe
5.254361,43.427397,1ere-classe
5.382027,43.291623,1ere-classe
5.475236,43.296207,1ere-classe
1.922619,48.771568,1ere-classe
2.880455,48.934684,1ere-classe
2.633854,48.568406,1ere-classe
6.146082,49.186043,1ere-classe
6.176134,49.240789,1ere-classe
6.093564,49.076815,1ere-classe
2.703885,48.832583,1ere-classe
2.550531,48.838088,1ere-classe
2.673877,48.861877,1ere-classe
2.659115,48.834016,1ere-classe
1.333197,43.983498,1ere-classe
6.838238,47.511278,1ere-classe
4.794377,44.667804,1ere-classe
2.957731,48.36331,1ere-classe
2.619182,46.381123,1ere-classe
3.936942,43.590285,1ere-classe
3.837775,43.568792,1ere-classe
3.691305,43.464405,1ere-classe
3.896013,43.585891,1ere-classe
2.432323,48.869211,1ere-classe
3.321936,46.580292,1ere-classe
7.285711,47.737107,1ere-classe
6.24925,48.713217,1ere-classe
6.177481,48.616623,1ere-classe
2.221789,48.91852,1ere-classe
-1.490327,47.211101,1ere-classe
-1.487477,47.260276,1ere-classe
-1.646386,47.234006,1ere-classe
-1.578615,47.191779,1ere-classe
2.73833,48.290481,1ere-classe
3.149576,47.023408,1ere-classe
7.230662,43.679887,1ere-classe
4.355135,43.828412,1ere-classe
-0.401812,46.338222,1ere-classe
-0.300092,46.361516,1ere-classe
4.793078,44.13531,1ere-classe
1.865302,47.947583,1ere-classe
1.854561,47.899508,1ere-classe
1.915845,47.839787,1ere-classe
2.345525,48.759919,1ere-classe
1.630481,43.103292,1ere-classe
2.225904,48.8676,1ere-classe
-0.382916,43.328324,1ere-classe
0.76274,45.182324,1ere-classe
2.906728,42.655895,1ere-classe
1.95456,48.79828,1ere-classe
0.370698,46.657597,1ere-classe
-4.077127,47.980377,1ere-classe
1.828944,48.623785,1ere-classe
3.924885,49.258827,1ere-classe
4.075246,49.217008,1ere-classe
4.014502,49.212084,1ere-classe
-1.607704,48.113288,1ere-classe
-1.702353,48.092716,1ere-classe
4.09838,46.032796,1ere-classe
2.57202,44.361707,1ere-classe
2.509494,48.973679,1ere-classe
2.501281,48.979483,1ere-classe
2.509418,48.995386,1ere-classe
2.473972,48.877781,1ere-classe
1.106927,49.475587,1ere-classe
1.058397,49.42571,1ere-classe
1.11038,49.369905,1ere-classe
1.065633,49.402419,1ere-classe
2.362456,48.992112,1ere-classe
-2.721109,48.491018,1ere-classe
4.368134,45.468378,1ere-classe
-1.975164,48.603585,1ere-classe
-2.209078,47.293819,1ere-classe
2.118096,49.034517,1ere-classe
1.9767,48.763112,1ere-classe
3.262478,49.848779,1ere-classe
2.556656,49.088204,1ere-classe
-0.656233,45.75402,1ere-classe
5.119556,43.629894,1ere-classe
-0.068254,47.280197,1ere-classe
3.313506,49.366488,1ere-classe
7.691742,48.586491,1ere-classe
7.699988,48.51012,1ere-classe
0.042925,43.222008,1ere-classe
5.850526,43.106992,1ere-classe
1.41975,43.645275,1ere-classe
1.375445,43.637702,1ere-classe
1.506085,43.543412,1ere-classe
1.403925,43.529987,1ere-classe
0.711514,47.43681,1ere-classe
0.707494,47.337377,1ere-classe
0.639314,47.346015,1ere-classe
